name,page_title,alliance,zone,place_type,place_class,description,location,loadtext,summary,bosses,related_quests,notable_items,notes
Tomb of the Apostates,Online:Tomb of the Apostates,Aldmeri Dominion,Malabal Tor,Cave,Delve,"a cave in southern Malabal Tor, west of Tanglehaven containing undead.",West of Tanglehaven,"The Green Pact, the Spinners say, contains its own punishment for those who turn their back on it. Such apostates become the Accursed of Y'ffre, doomed to haunt lost corners of the Green until they find a way to redeem themselves.","They are led by a skeletal sorcerer, Gwaeregil. Elorwen's spirit can also be found here, guiding people to her skeleton and family heirloom. thumb|right|Inside the tomb Centipedes, spiders and torchbugs are found in numbers within.",,Lost Daughter,,"The letter Rogue Elements, found in Deepwoods, marks this location on your map."
Claw's Strike,Online:Claw's Strike,Aldmeri Dominion,Reaper's March,Ruin,Delve,"a ruined Khajiiti temple in western Reaper's March, north of the Do'Krin Monastery, containing Dawnmead Bandits.",North of the Do'Krin Monastery,"Adoption of the Riddle'Thar Epiphany was not without controversy: when the priests of the Shrine of the Consummate S'rendarr in the Jodewood refused to accept the new edicts, they were exiled and the temple deconsecrated. Today it is a bandit lair.","They are led by Fishbreath. This delve contains a Skyshard, three copies of Skooma Runner Logs, and a Note to Marianas. The Shrine of the Golden Eye is located through one of two hidden doors here and must be visited to complete the quest Eye of Fate. Due to being a skooma-manufacturing den, a large number of lootable alchemy bottles are found inside, offering a good source of potions concentrated in one location. Rats and torchbugs are found in numbers within.",,Eye of Fate; To Honor the Fallen; Mascot Theft in Reaper's March; A Moonlit Shadow,,
Fardir's Folly,Online:Fardir's Folly,Aldmeri Dominion,Reaper's March,Elven Ruin,Delve,"an Ayleid ruin in northeastern Reaper's March, north of Fort Sphinxmoth containing Colovian raiders.",North of Fort Sphinxmoth,"For generations, tomb robbers have been trying to find their way into the halls beneath the Ayleid ruin known locally as Fardir's Folly. Word has reached Dune that they may finally have succeeded.",They are led by Ravo Peltrasius. There are more than a dozen bookshelves in the ruin and an Ayleid Well. Centipedes are found in numbers within.,,,,"The northernmost part of the ruins, which is just outside of the zone boundaries, was probably originally supposed to represent the ruin of Silorn (note the distinct cross-shaped layout of the ruin). However, Silorn later made a proper appearance in the West Weald zone."
Jode's Light,Online:Jode's Light,Aldmeri Dominion,Reaper's March,Ruin,Delve,"a ruined Khajiiti temple in eastern Reaper's March, west of Dune, containing Rotblood goblins and hostile wildlife.",West of Dune,"The shrine of Jode's Light just outside Pa'alat was founded by Moon-Bishop Thizzrini in the mid-First Era as a place of safe contemplation for all moon-monks, no matter when they were born on the ja'Kha'jay. It was abandoned during the mass mortality of the Thrassian Plague.","A Khajiit's Lost Journal Page is located on top of a crate at the entrance. Beetles and torchbugs are found in numbers within. The skyshard is located in the northwestern chamber, near the northern wall. Giant Bats inhabit this room. The tunnel to the south leads to the delve's boss. The Second Khajiiti Journal Page is located in the passage leading to the boss. A Third Khajiiti Journal Page is located near the boss room's northern one-way exit.",,Beyond a Veil of Twilight; The Demon Weapon; The Wing of the Dragon; Test of Faith,,The Ja'zennji Siir style is based on the outfits worn by the monks of Jode's Light temple (Ja'zennji Siir is Jode's Light in Ta'agra).
Kuna's Delve,Online:Kuna's Delve,Aldmeri Dominion,Reaper's March,Mine,Delve,"a mine in northern Reaper's March, south of Arenthia containing trolls.",South of Arenthia,There is a ready market in Senchal and Torval for Khajiiti relics from the glorious period of the Anequine Conquests. Objects that date from the reign of Darloc Brae the Golden Beast are particularly prized.,"Wolf, Young Bat loadtext=There is a ready market in Senchal and Torval for Khajiiti relics from the glorious period of the Anequine Conquests. Objects that date from the reign of Darloc Brae the Golden Beast are particularly prized. }} They are led by a massive armored troll known as Limbrender. Centipedes and torchbugs are found in numbers within. Reading Supplies for the Delve at Kuna's office in Rawl'kha will mark this location on your map.",,How Few Remain,,
Thibaut's Cairn,Online:Thibaut's Cairn,Aldmeri Dominion,Reaper's March,Crypt,Delve,"a crypt in central Reaper's March, east of Vinedusk Village containing undead.",East of Vinedusk Village,"The cemeteries and graveyards of Reaper's March overflow with the dead slain in war after war, but at least their survivors could always count on them resting quietly. However, that was before Molag Bal began his Planemeld.","thumb|right|The lich's chamberThe Cairn is named for its most noted ""guest,"" the famed Thibault of Kvatch. Thibault was a general of Colovia, and in his time some hundreds of years ago he was one of the anchor points for the Hastrel Cohort. The details of Thibault's death have been lost. Fleshflies and rats are found in numbers inside. Rithlen the traveling merchant can be found walking along the road east of the cairn.",,History's Song,,"The boss for Thibaut's Cairn was originally found in an outside higher area after going through and exiting the delve. Now the boss is inside and the outside area has one Ghost, one Skeletal Blademaster and one Skeletal Marksman."
Weeping Wind Cave,Online:Weeping Wind Cave,Aldmeri Dominion,Reaper's March,Cave,Delve,"a cave in southeastern Reaper's March, northeast of Willowgrove containing werewolves.",Northeast of Willowgrove,"According to the ""Speluncus Tamrielicum,"" the reason Nirn is seemingly riddled with natural caverns is that, like a living body, the world is veined with a system of nodes and capillaries that once pulsed with the divine essence of the Aedra who created it.","The pack is led by Nimriian. Butterflies, fleshflies and torchbugs are found in numbers within.",,The Dark Behind the World; A Night to Forget,,The generic Wolfpack enemies have a very small chance of turning into a werewolf during combat.
Aldunz,Online:Aldunz,Daggerfall Covenant,Alik'r Desert,Dwemer Ruin,Delve,"a Dwemer ruin in the southern Alik'r Desert, east of Bergama containing Dwemer constructs.",East of Bergama,"Though some Dwarven automatons were clearly designed for defense of the facilities in which they're found, the function of other constructs is less clear. Some appear to be tasked with maintaining other machines, lubricating joints and replacing worn-out parts.","Dwarven Sphere, Dwarven Spider, Flame Atronach, Swarming Dwarven Spider loadtext=Though some Dwarven automatons were clearly designed for defense of the facilities in which they're found, the function of other constructs is less clear. Some appear to be tasked with maintaining other machines, lubricating joints and replacing worn-out parts. loadscreen=ON-load-Dwemer 01.jpg }}Scorpions are found in numbers within. Hazards include lava pools.",,Molten Pearls of Alik'r Desert; The Precursor; Tharayya's Trail,,This is one of the locations where the Precursor Dummy parts resides
Coldrock Diggings,Online:Coldrock Diggings,Daggerfall Covenant,Alik'r Desert,Mine,Delve,"a mine in the northern Alik'r Desert, southeast of Tava's Blessing containing vampires.",Southeast of Tava's Blessing,"The shipwrights at nearby Tava's Blessing depend upon the mine at Coldrock for grit-rock, used in sanding wooden planks, and holystone, a light pumice used for cleaning the decks.","The mine produced grit-rock and holystone for shipwrights at Tava's Blessing before being abandoned. Young Bats swarm from Bat Hollows in the northeastern tunnels. Dead Merchants and Captive Withered Hands, victims of the vampires, can be found inside. Scorpions are found in numbers within.",,Past Due,,
Divad's Chagrin Mine,Online:Divad's Chagrin Mine,Daggerfall Covenant,Alik'r Desert,Mine,Delve,"a mine in central Alik'r Desert, southeast of Sentinel containing Sandgrubber goblins.",Southeast of Sentinel,"""Divad's Chagrin"" is an epic poem of the Redguards describing the great hero's remorse at forsaking the life of a musician to fight tyranny and injustice. No one seems to know what the story of Divad has to do with this shallow mine in the desert.","Beetles, lizards and rats are found in numbers within. Sorhab and his goat are located near the wayshrine. The Lost Caravan lies south of the mine, and Tu'whacca's Throne is to the north. Several dead Dunmer are located in the tunnel near the entrance. A note on top of a stack of crates explains that the goblins in the mine were laborers in the mine, and that no one wanted to buy them. The mine's overseers had gone missing. The Dunmer corpses presumably belong to the people who owned the goblins. A chest can spawn near this stack of crates. The western chamber contains a camp with cots located beneath tarps. There is a dining table further south, and Dunmer corpses are everywhere. Some of them are laying on cots, and may have been killed as they slept. A shield is propped up by a greatsword over a circle of bones, which lies beneath a small tree to the south. Armin is located here A note is located atop a pile of crates near a Dunmer corpse in the southern chamber. The note is located ",,The Search is Over; The Towers' Fall,,"All Alik'r Desert delves were enlarged with Update 5. For Divad's Chagrin Mine, the eastern part was added and the middle part was opened to no longer be one-way. The Sandgrubber Butchers, Sandgrubber Hunters and Sandgrubber Savages were deleted, and Durzogs, Even Bigger, Ogres, Sandgrubber Deadeyes and Sandgrubber Fire Mages were added. The Sandgrubber Shaman was present in both. Finally Armin was located at the southern dead end (which now links the middle and eastern parts)."
Sandblown Mine,Online:Sandblown Mine,Daggerfall Covenant,Alik'r Desert,Mine,Delve,"a depleted copper mine in the southeastern Alik'r Desert, east of HoonDing's Watch containing Khajiit bandits.",East of HoonDing's Watch,"""Sandblown? Ah, now I recall it—the played-out copper mine south of Kozanset. That pit hasn't been worked since the reign of King Ramzi.""","It is inhabited by Khajiit bandits, who feed unwary travelers to the giant snake Huzal. Beetles and snakes are found in numbers within. Unique ""Spider Nests"" are present on top of bandit bodies in the southwest room. Multiple Young Spiders erupt from it upon approaching and when they are all defeated, you can loot the Spider Nest for a random item, ranging from leveled equipement to Decorative Wax",,The Real Snake,,
Santaki,Online:Santaki,Daggerfall Covenant,Alik'r Desert,Dwemer Ruin,Delve,"a Dwemer ruin in the western Alik'r Desert, south of Sentinel containing bandits and Dwemer constructs.",South of Sentinel,"When the Rourken Dwemer migrated west to Hammerfell, they found a land rich in untapped mineral wealth. They roamed far from their city of Volenfell in pursuit of it, building deep mines and busy workshops. Many of these sites remain virtually untouched.","Bandit Archer, Bandit Charger, Bandit Marauder, Bandit Skirmisher, Dwarven Sphere, Swarming Dwarven Spider alliance=Daggerfall Covenant zone=Alik'r Desert subzone=Myrkwasa location=South of Sentinel marker_id=Delve loadscreen=ON-load-Dwemer 02.jpg loadtext=When the Rourken Dwemer migrated west to Hammerfell, they found a land rich in untapped mineral wealth. They roamed far from their city of Volenfell in pursuit of it, building deep mines and busy workshops. Many of these sites remain virtually untouched. }}Lizards and scorpions are found in numbers within.",,Tharayya's Trail; The Precursor,,
Yldzuun,Online:Yldzuun,Daggerfall Covenant,Alik'r Desert,Dwemer Ruin,Delve,"a Dwemer ruin in the southeastern Alik'r Desert, southeast of Kozanset containing Imperial soldiers and Dwemer constructs.",Southeast of Kozanset,"The scholar Guylaine Marilie asserts that ""Yldzuun"" can be accurately translated as ""Mechanized Paradise."" However, Thelwe Ghelein says the name is best rendered as ""Steam Closet.""","Dwarven Sphere, Dwarven Spider, Imperial Duelist, Imperial Knight, Imperial Marksman, Imperial Soldier, Imperial Pyromancer, Swarming Dwarven Spider alliance=Daggerfall Covenant zone=Alik'r Desert subzone=Tigonus location=Southeast of Kozanset marker_id=Delve loadscreen=ON-load-Dwemer 02.jpg loadtext=The scholar Guylaine Marilie asserts that ""Yldzuun"" can be accurately translated as ""Mechanized Paradise."" However, Thelwe Ghelein says the name is best rendered as ""Steam Closet."" }} The Imperials were hired by Quintus Verres to stop his ex-wife, Tharayya. Rats and scorpions are found in numbers within. Imperials and Dwarven constructs can be found fighting against each other in the western room, which is near the entrance. The western chamber has three sections: the northern section, the center, and the southern section. The north and south lead out to tunnels into other sections of the ruin. A heavy sack is in the southeastern corner of the northern section of the room. A chest lies alo",,Tharayya's Trail; The Precursor,,
Crypt of the Exiles,Online:Crypt of the Exiles,Daggerfall Covenant,Bangkorai,Crypt,Delve,"a tomb in central Bangkorai, south of the Pelin Graveyard containing undead.",South of the Pelin Graveyard,"After High Rock joined the First Empire in 1E 1029, the King of Evermore had a vast cemetery built outside the city to house himself and his descendants, naming it after Saint Pelin of Bangkorai Pass. Some of the empty mausoleums ended up put to other uses than burial.",Fleshflies and rats are found in numbers within.,,Ancient Armaments in Bangkorai; A Favor Between Kings; The Ravenwatch Inquiry,,"Prior to a very early update, this delve contained instead Forgotten Assassins, Forgotten Guardians, Forgotten Knights and Forgotten Mystics"
Klathzgar,Online:Klathzgar,Daggerfall Covenant,Bangkorai,Dwemer Ruin,Delve,"a Dwemer ruin in southeastern Bangkorai, east of Hallin's Stand and south of the Bangkorai Garrison.","East of Hallin's Stand, south of the Bangkorai Garrison","The location of the Dwarven ruin called Klathzgar had been lost since the middle of the First Era, when its entrance was hidden by drifting sand. Now the same desert wind that covered it has uncovered it, and its entrance is revealed.",An Altmeri scholar named Pelorrah has been studying these ruins.,,Urenenya's Lament (quest); The Precursor,,
Rubble Butte,Online:Rubble Butte,Daggerfall Covenant,Bangkorai,Elven Ruin,Delve,"an Ayleid ruin in western Bangkorai, north of Hallin's Stand containing Disloyal Nobles and their minions.",North of Hallin's Stand,"This underground site is part of Nilata, one of the most extensive Ayleid ruin complexes in Hammerfell. It was occupied by the Wild Elves for at least a thousand years, and its welkynd stones will probably continue to glow for at least another thousand.",,,Back in Time; The Missing Prophecy,,
